Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer,Meteorological observations as transcribed,Cloudy,Fair,Smokey,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other observations transcribed
3635,4434, APS-275669-002_01,Mss.551.5.M26,275669-2,1,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-01,2 O'Clock,14:00,,,48,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3636,4435, APS-275669-002_01,Mss.551.5.M26,275669-2,1,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-01,4 O'Clock,16:00,E,E,44,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3637,4433, APS-275669-002_01,Mss.551.5.M26,275669-2,1,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-01,sunrise,0:00,NE,NE,32,,,,,,,,James Madison,fair & thin clouds,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3638,4437, APS-275669-002_02,Mss.551.5.M26,275669-2,2,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-02,2 O'Clock,14:00,,,34,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3639,4438, APS-275669-002_02,Mss.551.5.M26,275669-2,2,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,wind,1789-01-02,4 O'Clock,16:00,NE/NW,NE/NW,33,,,,,,,,James Madison,sleet & raining,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,
3640,4436, APS-275669-002_02,Mss.551.5.M26,275669-2,2,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-02,sunrise,16:00,E,E,32,,,,,,,,James Madison,sleet & raining fast,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,
3641,4440, APS-275669-002_03,Mss.551.5.M26,275669-2,3,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-03,2 O'Clock,14:00,,,35,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,4441, APS-275669-002_03,Mss.551.5.M26,275669-2,3,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-03,4 O'Clock,16:00,NE,NE,35.5,,,,,,,,James Madison,thick & misty,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3643,4439, APS-275669-002_03,Mss.551.5.M26,275669-2,3,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-03,sunrise,0:00,E,E,33,,,,,,,,James Madison,thick & misty,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,4443, APS-275669-002_04,Mss.551.5.M26,275669-2,4,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-04,2 O'Clock,14:00,,,50,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,4444, APS-275669-002_04,Mss.551.5.M26,275669-2,4,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-04,4 O'Clock,16:00,W,W,45,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646,4442, APS-275669-002_04,Mss.551.5.M26,275669-2,4,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-04,sunrise,0:00,S,S,45,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
