Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer data,Meteorological observations as transcribed,Cloudy,Fair,Smoke,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other Observations Transcribed
1,10, APS-275576-005_01,Mss.551.5.M26,275576-5,1,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,"No temperature recorded. Copied dates from CSV of MadisonData spreadsheet produced by Cynthia Heider and Molly Nebiolo. Added third daily measurement dates (taken at 2:00 PM) missing in CSV that were present in MadisonData Google Sheets. Chose not to include Barometer at Sunrise or Barometer at 4:00 PM columns  found in volume  because there were no entries in these columns. Chose to put observer as "James Madison family" when not determined. Chose to temporarily fill out "daily reading no."/"time transcribed" columns with "1" and "sunrise" until 1788-06-16  as these constitute 50% of the entries prior to 1788-06-16. Intending to correct these as necessary when working through each row and filling out the specific entry. Decided to copy binary 0-1 values from the CSV unmodified to eventually rename Y or remove per Jefferson papers format. Decided to fill out one entry before proceeding further in spreadsheet. Decided to use "muddy" column to indicate transcription reading "sky muddy." Decided to set "wind direction" column as just the direction of wind (even if transcription records "if any" or "changeable")""o temperature recorded. Copied dates from CSV of MadisonData spreadsheet produced by Cynthia Heider and Molly Nebiolo. Added third daily measurement dates (taken at 2:00 PM) missing in CSV that were present in MadisonData Google Sheets. Chose not to include Barometer at Sunrise or Barometer at 4:00 PM columns  found in volume  because there were no entries in these columns. Chose to put observer as "James Madison family" when not determined. Chose to temporarily fill out "daily reading no."/"time transcribed" columns with "1" and "sunrise" until 1788-06-16  as these constitute 50% of the entries prior to 1788-06-16. Intending to correct these as necessary when working through each row and filling out the specifi"" temperature recorded. Copied dates from CSV of MadisonData spreadsheet produced by Cynthia Heider and Molly Nebiolo. Added third daily measurement dates (taken at 2:00 PM) missing in CSV that were present in MadisonData Google Sheets. Chose not to include Barometer at Sunrise or Barometer at 4:00 PM columns  found i",,1784-04-01,4:00 PM,16:00,W if any,W,,,,,,,,0,,smokey & sky muddy,,,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
2,11, APS-275576-005_01,Mss.551.5.M26,275576-5,1,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded. Putting comments regarding the migration of geese into Birds,,1784-04-01,sunrise,5:45,NE if any,NE,,,,,,,,0,,sky muddy,,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,Wild geese flying N.ward
3,12, APS-275576-005_02,Mss.551.5.M26,275576-5,2,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,"No temperature recorded. Decided not to copy meteorological comments into "Meteorological" category if their existence was noted by column (e.g.  the transcription reads "Cloudy " so I did not copy this into the meteorological section)""o temperature recorded. Decided not to copy meteorological comments into "Meteorological" category if their existence was noted by column (e.g.  the transcripti"" temperature recorded. Decided not to copy meteorological comments into "Meteorologica""temperature r",,1784-04-02,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13, APS-275576-005_02,Mss.551.5.M26,275576-5,2,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-02,sunrise,5:44,NE,NE,,,,,,,,,James Madison,ground covered with snow and snowing with rain,,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,
5,14, APS-275576-005_03,Mss.551.5.M26,275576-5,3,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-03,sunrise,5:43,NE,NE,,,,,,,,,James Madison,rainy,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
6,15, APS-275576-005_03,Mss.551.5.M26,275576-5,3,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-03,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,clear; tops of bl. ridge covered with snow,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
7,16, APS-275576-005_04,Mss.551.5.M26,275576-5,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-04,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
8,17, APS-275576-005_04,Mss.551.5.M26,275576-5,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-04,sunrise,5:42,NE,NE,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
9,18, APS-275576-005_05,Mss.551.5.M26,275576-5,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-05,sunrise,5:41,SW,SW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
10,19, APS-275576-005_05,Mss.551.5.M26,275576-5,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-05,4:00 PM,16:00,S,S,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
11,20, APS-275576-005_06,Mss.551.5.M26,275576-5,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-06,4:00 PM,16:00,S,S,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
12,21, APS-275576-005_06,Mss.551.5.M26,275576-5,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,"No temperature recorded. Decided to put plants "up" under Plants category  not Planted""o temperature recorded. Decided to put",,1784-04-06,sunrise,5:40,W,W,,,,,,,,,James Madison,flying clouds,y,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,Garden peas first up
13,22, APS-275576-005_07,Mss.551.5.M26,275576-5,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-07,sunrise,5:38,W,W,,,,,,,,,James Madison,ground sprinkled with snow; bl. ridge covered,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,,
14,23, APS-275576-005_07,Mss.551.5.M26,275576-5,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-07,4:00 PM,16:00,W,W,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,,,,,Blue Hyacinths blossom
15,24, APS-275576-005_08,Mss.551.5.M26,275576-5,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-08,sunrise,5:37,SW,SW,,,,,,,,,James Madison,"clear, snow on bl. Ridge disappears",,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
